place_name,city,category,rating,user_ratings_total,address,lat,lng
Khan el-Khalili,Cairo,tourist_attraction,4.6,12500,Al-Azhar St Cairo,30.0478,31.2625
The Egyptian Museum,Cairo,museum,4.7,18200,Tahrir Square Cairo,30.0478,31.2336
Cairo Tower,Cairo,tourist_attraction,4.4,9800,Gezira Island Cairo,30.0459,31.2243
City Stars Mall,Cairo,shopping_mall,4.4,22000,Omar Ibn El-Khattab St Cairo,30.0731,31.3407
Mall of Egypt,Cairo,shopping_mall,4.5,31000,Alexandria Desert Road Cairo,30.0102,31.1821
Mall of Arabia,Cairo,shopping_mall,4.3,18700,Juhayna Square Cairo,30.0068,31.1845
Al-Azhar Mosque,Cairo,mosque,4.8,14300,Al-Azhar St Cairo,30.0459,31.2617
Muhammad Ali Mosque,Cairo,mosque,4.7,16800,The Citadel Cairo,30.0286,31.2597
Al-Hussein Mosque,Cairo,mosque,4.6,9200,Al-Hussein Square Cairo,30.0489,31.2628
Abdeen Palace,Cairo,tourist_attraction,4.3,5600,Abdeen Square Cairo,30.0422,31.2461
Maadi Corniche,Cairo,park,4.2,7800,Corniche El Nile Maadi Cairo,29.9602,31.2317
Al-Azhar Park,Cairo,park,4.6,13400,Salah Salem St Cairo,30.0408,31.2756
Khufu Pyramid,Giza,tourist_attraction,4.8,45000,Al Haram St Giza,29.9792,31.1342
Sphinx,Giza,tourist_attraction,4.7,38000,Nazlet El-Semman Giza,29.9753,31.1376
Giza Pyramids Complex,Giza,tourist_attraction,4.8,52000,Al Haram Giza,29.9773,31.1325
Solar Boat Museum,Giza,museum,4.4,6700,Giza Pyramid Complex,29.9769,31.1241
Fayrouz Restaurant Giza,Giza,restaurant,4.2,3200,Al Haram St Giza,29.9821,31.1398
Abu El Sid,Cairo,restaurant,4.5,8900,26 July St Zamalek Cairo,30.0608,31.2219
Koshary El Tahrir,Cairo,restaurant,4.4,11200,Tahrir Square Cairo,30.0444,31.2357
